track_id,track_name,track_popularity,duration_ms,explicit,album_name,release_date,artists,artist_ids,spotify_url,year,primary_artist_id,primary_artist_genres,primary_artist_popularity,primary_artist_followers
17tg01y3RhlfRKMnd333yL,Apaga Apaga Apaga - Ao Vivo,84,178882,False,Toma Essa Verdade (Ao Vivo),2024-08-09,Danilo e Davi,5DaqVKaxeqDbJuxaIP9m4u,https://open.spotify.com/track/17tg01y3RhlfRKMnd333yL,2024,5DaqVKaxeqDbJuxaIP9m4u,"['sertanejo', 'agronejo', 'sertanejo universitário']",70,323959
1wubETHu3SeJHfbz9itEH0,Última Saudade - Ao Vivo,77,150449,False,Manifesto Musical 2 (Ao Vivo / EP1),2024-09-27,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/track/1wubETHu3SeJHfbz9itEH0,2024,3p7PcrEHaaKLJnPUGOtRlT,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",86,30548941
0bor3AJ8QV6RRbyV64ZsOO,Cortando as BR (F&J 10 Anos) - Ao Vivo,66,175338,False,Cortando as BR (F&J 10 Anos) [Ao Vivo],2024-05-16,"Fiduma & Jeca, Fernando & Sorocaba","2h73KyGixa4A1xlhcxjpG1,1oSgjdbgLYULVmEBojPRw8",https://open.spotify.com/track/0bor3AJ8QV6RRbyV64ZsOO,2024,2h73KyGixa4A1xlhcxjpG1,"['sertanejo', 'agronejo', 'sertanejo universitário']",65,635344
1SelttS2mueDntyefQGi7s,Baqueado - Ao Vivo,74,146750,False,Baqueado (Ao Vivo),2024-12-19,"Panda, Ícaro e Gilmar, MJ Records","5qIpstBGrGteJZg1xIvbiz,6Wlvsn3IPHiZwAv02lB5eC,0oAZhL6hFrM3YRr6QzjlOf",https://open.spotify.com/track/1SelttS2mueDntyefQGi7s,2024,5qIpstBGrGteJZg1xIvbiz,"['sertanejo', 'sertanejo universitário']",81,234341
1Jhkk1FIV7tMH9CZATjxrf,Equivocada - Ao Vivo,60,207194,False,Equivocada (Ao Vivo),2024-03-21,"Traia Véia, Gusttavo Lima","0FMBXfGasuAjdpsCs7zgju,7MiDcPa6UiV3In7lIM71IN",https://open.spotify.com/track/1Jhkk1FIV7tMH9CZATjxrf,2024,0FMBXfGasuAjdpsCs7zgju,"['sertanejo', 'sertanejo universitário', 'agronejo']",67,425062
5sKGmZDmkGwFed5dPpZpZL,Xonei,69,154555,False,Xonei,2024-08-15,"Jorge & Mateus, Henrique & Juliano","1elUiq4X7pxej6FRlrEzjM,3p7PcrEHaaKLJnPUGOtRlT",https://open.spotify.com/track/5sKGmZDmkGwFed5dPpZpZL,2024,1elUiq4X7pxej6FRlrEzjM,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",82,24265494
6i8D3Na0oRaENYDZHnJolS,Vai Lá - Ao Vivo em Goiânia,32,140438,False,iMEMsidão EP 01 (Ao Vivo em Goiânia),2024-09-26,Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,https://open.spotify.com/track/3EJfFRgtbIYzBQdlc6PO9V,2024,59jlthNnbmim5l9tmNA7se,"['sertanejo', 'sertanejo universitário', 'piseiro']",73,14761283
1YlfGwNizEKy299l1PVggn,Coração Partido (Corazón Partío) - Ao Vivo,77,195794,False,Coração Partido (Corazón Partío) [Ao Vivo],2024-08-29,Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,https://open.spotify.com/track/1YlfGwNizEKy299l1PVggn,2024,6vTqEFbTtTRJsuIpzZgjxi,"['pagode', 'samba']",85,6319065
2k7EhDUKXApmeYVew9xeDf,Pilantra e Meio,69,188823,False,Pilantra e Meio,2024-11-08,"Eric Land, Natanzinho Lima","007FXgr0jLBJxhPJjacXQH,0Il5vC8lqunSFNav4mMLxU",https://open.spotify.com/track/2k7EhDUKXApmeYVew9xeDf,2024,007FXgr0jLBJxhPJjacXQH,"['piseiro', 'forró', 'arrocha', 'sertanejo', 'brega', 'seresta']",63,1273727
6cwgSRunEtZnmnNZogBub7,Jet em Balneário,65,132461,False,Jet em Balneário,2024-12-16,"Ana Castela, MC PH, AgroPlay","2CKOmarVWvWqkNWUatHCex,4PLdCloYxu2bMKfuuB9lI5,0uGWkZRPp1Urk77XBrPBsZ",https://open.spotify.com/track/6cwgSRunEtZnmnNZogBub7,2024,2CKOmarVWvWqkNWUatHCex,"['sertanejo', 'agronejo', 'sertanejo universitário', 'piseiro']",80,9612168
