track_id,track_name,track_popularity,duration_ms,explicit,album_name,release_date,artists,artist_ids,spotify_url,year,primary_artist_id,primary_artist_genres,primary_artist_popularity,primary_artist_followers
5q0NlM6Pm8Pp3orq7zGiRn,Quarta Cadeira - Ao Vivo,75,224001,False,Tem Moda Pra Tudo (Ao Vivo),2019-03-22,"Matheus & Kauan, Jorge & Mateus","2Z0lRIqr997lIUiPtrpKCr,1elUiq4X7pxej6FRlrEzjM",https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,2020,2Z0lRIqr997lIUiPtrpKCr,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",79,13163858
5aMgTcyBPH90hWHhbNKTwR,Entregador de Flor - Ao Vivo em Brasília,80,190276,False,Diego & Victor Hugo Ao Vivo em Brasília,2019-07-12,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,https://open.spotify.com/track/5aMgTcyBPH90hWHhbNKTwR,2020,3k68C6mNMJL6OaAdWeW2ZF,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo', 'piseiro']",77,3933777
6YjyT6MEMsMc41NNWk2dYg,Bebaça - Ao Vivo,62,175202,False,"Todos Os Cantos, Vol. 1 (Ao Vivo)",2019-02-22,"Marília Mendonça, Maiara & Maraisa","1yR65psqiazQpeM79CcGh8,59jlthNnbmim5l9tmNA7se",https://open.spotify.com/track/6YjyT6MEMsMc41NNWk2dYg,2020,1yR65psqiazQpeM79CcGh8,"['sertanejo', 'sertanejo universitário', 'arrocha', 'forró']",80,38758961
4E6RdcCWMiHTu7zy1VTNDo,Todo Mundo Vai Sofrer - Ao Vivo,63,154661,False,"Todos Os Cantos, Vol. 2 (ao Vivo)",2019-05-17,Marília Mendonça,1yR65psqiazQpeM79CcGh8,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo,2020,1yR65psqiazQpeM79CcGh8,"['sertanejo', 'sertanejo universitário', 'arrocha', 'forró']",80,38758961
6lK3nCiigk34SGqEjpQoqO,Aí Eu Bebo - Ao Vivo,53,173891,False,Aí Eu Bebo (ao Vivo),2019-10-18,Maiara & Maraisa,59jlthNnbmim5l9tmNA7se,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO,2020,59jlthNnbmim5l9tmNA7se,"['sertanejo', 'sertanejo universitário', 'piseiro']",73,14761283
1MparvKC8QIDwu06iO3qVr,Volta Por Baixo - Ao Vivo,72,192632,False,Ao Vivo No Ibirapuera,2020-05-15,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/track/1MparvKC8QIDwu06iO3qVr,2020,3p7PcrEHaaKLJnPUGOtRlT,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",86,30548941
4UANYptjv2kpV6IY7IjXoJ,Bem Pior Que Eu - Ao Vivo,69,168172,False,"Todos Os Cantos, Vol. 1 (Ao Vivo)",2019-02-22,Marília Mendonça,1yR65psqiazQpeM79CcGh8,https://open.spotify.com/track/4UANYptjv2kpV6IY7IjXoJ,2020,1yR65psqiazQpeM79CcGh8,"['sertanejo', 'sertanejo universitário', 'arrocha', 'forró']",80,38758961
6LxxQTcESLWB9dCx6Ni0UJ,Turbinada,60,169878,False,Turbinada,2019-08-02,Zé Ricardo & Thiago,4ZUahcHoVxr4lsrfdmhjhV,https://open.spotify.com/track/6LxxQTcESLWB9dCx6Ni0UJ,2020,4ZUahcHoVxr4lsrfdmhjhV,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",58,421741
3GmJxfnUDrIs1iCfKUELFz,Supera - Ao Vivo,70,147748,False,"Todos Os Cantos, Vol. 3 (Ao Vivo)",2019-08-16,Marília Mendonça,1yR65psqiazQpeM79CcGh8,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,2020,1yR65psqiazQpeM79CcGh8,"['sertanejo', 'sertanejo universitário', 'arrocha', 'forró']",80,38758961
7bukHRNgGLRySTJEVvLoIR,Briga Feia - Ao Vivo,75,194580,False,Ao Vivo No Ibirapuera,2020-05-15,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/track/7bukHRNgGLRySTJEVvLoIR,2020,3p7PcrEHaaKLJnPUGOtRlT,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",86,30548941
0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,77,185573,False,HELP EVER HURT NEVER,2020-05-20,Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW,2020,6bDWAcdtVR3WHz2xtiIPUi,['j-pop'],75,4642264
3UoULw70kMsiVXxW0L3A33,pov,76,201882,False,Positions,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33,2020,66CXWjxzNUsdJxJ2JdwvnR,['pop'],94,107981653
6Q9NH5cNBY58nJkp5Jbs9j,Deve ser horrível dormir sem mim,56,155052,False,Deve ser horrível dormir sem mim,2020-08-21,"Manu Gavassi, Gloria Groove","6xF3XdxG7VHRmQmTJxRqX8,7rXMvXRnWHaSwnVvPeUUfw",https://open.spotify.com/track/6Q9NH5cNBY58nJkp5Jbs9j,2020,6xF3XdxG7VHRmQmTJxRqX8,['brazilian pop'],47,720615
1tdP9ND6rKEq1vJZlMQ5KW,Chama Ela (feat. Pedro Sampaio),56,120200,False,LEXA,2020-09-17,"Lexa, PEDRO SAMPAIO","0jTDeBJQr3unrK29LklnAv,5wbf52LA6kcaboHSN6NEF1",https://open.spotify.com/track/1tdP9ND6rKEq1vJZlMQ5KW,2020,0jTDeBJQr3unrK29LklnAv,"['brazilian funk', 'funk pop', 'brazilian pop', 'funk carioca', 'brega funk']",52,2524272
5FVbvttjEvQ8r2BgUcJgNg,Life Goes On,82,207481,False,BE,2020-11-20,BTS,3Nrfpe0tUJi4K4DXYWgMUX,https://open.spotify.com/track/5FVbvttjEvQ8r2BgUcJgNg,2020,3Nrfpe0tUJi4K4DXYWgMUX,['k-pop'],87,81534356
0eFMbKCRw8KByXyWBw8WO7,Still With You,80,239905,False,Still With You,2020-06-05,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7,2020,6HaGTQPmzraVmaVxvz6EUc,['k-pop'],81,18805895
4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,71,194765,False,THE ALBUM,2020-10-02,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,2020,41MozSoPIsD1dJM0CLPjZF,['k-pop'],82,56522252
2RdEC8Ff83WkX7kDVCHseE,party 4 u,84,296653,False,how i'm feeling now,2020-05-15,Charli xcx,25uiPmTg16RbhZWAqwLBy5,https://open.spotify.com/track/2RdEC8Ff83WkX7kDVCHseE,2020,25uiPmTg16RbhZWAqwLBy5,"['hyperpop', 'art pop']",83,6432761
4XPXrcpyNr30Km6aPiflJy,God’s Menu,77,167922,False,GO LIVE,2020-06-17,Stray Kids,2dIgFjalVxs4ThymZ67YCE,https://open.spotify.com/track/4XPXrcpyNr30Km6aPiflJy,2020,2dIgFjalVxs4ThymZ67YCE,"['k-pop', 'noise music']",87,21366230
0RSB8xMpOJSVSmWPUB9bcQ,Não Quer Correr o Risco,56,261540,False,Diferente dos Iguais,2020-12-17,Tarcísio do Acordeon,48HORs6F9P7IgdyKrk4MZC,https://open.spotify.com/track/0RSB8xMpOJSVSmWPUB9bcQ,2020,48HORs6F9P7IgdyKrk4MZC,"['piseiro', 'forró', 'arrocha', 'sertanejo', 'seresta', 'brega']",70,7004915
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),75,166028,False,Head & Heart (feat. MNEK),2020-07-03,"Joel Corry, MNEK","6DgP9otnZw5z6daOntINxp,7uMh23xWiuR7zsNkuNcm2G",https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9,2020,6DgP9otnZw5z6daOntINxp,['dance pop'],68,474083
25gD4PQjxCLnwIY2n23aEl,Flores,58,155798,False,Flores,2020-06-12,"Vitão, Luísa Sonza","06lnOkY99sXVW44Y0M4BDP,4PzYKhC14sTJNEr0dzoo0d",https://open.spotify.com/track/25gD4PQjxCLnwIY2n23aEl,2020,06lnOkY99sXVW44Y0M4BDP,"['brazilian pop', 'brazilian hip hop']",67,902351
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,82,183290,False,Future Nostalgia,2020-03-27,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020,6M2wZ9GZgrQXHCFfjv46we,['pop'],87,47110677
