track_id,track_name,track_popularity,duration_ms,explicit,album_name,release_date,artists,artist_ids,spotify_url,year,primary_artist_id,primary_artist_genres,primary_artist_popularity,primary_artist_followers
6nkoWsFZeFt5dUdNmlIceh,Bloqueado - Ao Vivo,64,168689,False,Buteco in Boston (Ao Vivo),2021-12-16,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh,2021,7MiDcPa6UiV3In7lIM71IN,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo', 'piseiro', 'forró']",80,23463208
1MparvKC8QIDwu06iO3qVr,Volta Por Baixo - Ao Vivo,72,192632,False,Ao Vivo No Ibirapuera,2020-05-15,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/track/1MparvKC8QIDwu06iO3qVr,2021,3p7PcrEHaaKLJnPUGOtRlT,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",86,30548941
7bukHRNgGLRySTJEVvLoIR,Briga Feia - Ao Vivo,75,194580,False,Ao Vivo No Ibirapuera,2020-05-15,Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,https://open.spotify.com/track/7bukHRNgGLRySTJEVvLoIR,2021,3p7PcrEHaaKLJnPUGOtRlT,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",86,30548941
1yX6sh2TkrT5hsXodo7aS6,Astronaut In The Ocean - Alok Remix,66,128371,True,Astronaut In The Ocean (Alok Remix),2021-04-30,"Masked Wolf, Alok","1uU7g3DNSbsu0QjSEqZtEd,0NGAZxHanS9e0iNHpR8f2W",https://open.spotify.com/track/1yX6sh2TkrT5hsXodo7aS6,2021,1uU7g3DNSbsu0QjSEqZtEd,[],61,791575
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,74,162802,True,Goosebumps (Remix),2021-01-15,"Travis Scott, HVME","0Y5tJX1MQlPlqiwlOH1tJY,2o08sCWF5yyo2G4DCiT7T9",https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,2021,0Y5tJX1MQlPlqiwlOH1tJY,['rap'],91,41542753
6f3Slt0GbA2bPZlz0aIFXN,The Business,74,164000,False,The Business,2020-09-16,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN,2021,2o5jDhtHVPhrJdv3cEQ99Z,"['edm', 'trance', 'big room']",81,8025300
59H1DZbkNpalrm2XbOJ2VE,Days of Summer,49,139624,False,Good Day Sunshine,2021-03-26,Billy the Happy,7EJBwgzK91XQkkQwpjJHVM,https://open.spotify.com/track/59H1DZbkNpalrm2XbOJ2VE,2021,7EJBwgzK91XQkkQwpjJHVM,[],43,803
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),76,158095,False,Love Tonight (David Guetta Remix),2021-06-11,"Shouse, David Guetta","2TcGJdSOiOvITBzhvfX8XB,1Cs0zKBU1kc0i8ypK3B9ai",https://open.spotify.com/track/2prnn41CblB8B4yWACDljP,2021,2TcGJdSOiOvITBzhvfX8XB,[],65,176563
7cyGxmLnHWlwt41cr2RZzG,Do It To It,55,157890,False,Do It To It,2021-08-20,"ACRAZE, Cherish","4pnp4w9g30yLfVIAFnZMRd,1c70yCa8sRgIiQxl3HOEFo",https://open.spotify.com/track/20on25jryn53hWghthWWW3,2021,4pnp4w9g30yLfVIAFnZMRd,['tech house'],61,158864
0GTPmh5G40joBg93vcSQNq,Don't Say Goodbye (feat. Tove Lo),65,186583,False,Don't Say Goodbye (feat. Tove Lo),2020-09-25,"Alok, Ilkay Sencan, Tove Lo","0NGAZxHanS9e0iNHpR8f2W,5deLgmgAEgy8UHOfJ9Dj8w,4NHQUGzhtTLFvgF5SZesLK",https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq,2021,0NGAZxHanS9e0iNHpR8f2W,"['brazilian bass', 'electronic', 'slap house', 'electro house']",77,11249319
