track_id,track_name,track_popularity,duration_ms,explicit,album_name,release_date,artists,artist_ids,spotify_url,year,primary_artist_id,primary_artist_genres,primary_artist_popularity,primary_artist_followers
1bzRhnrWU1l1u4Bby9ZbfQ,Nosso Quadro,63,173698,False,AgroPlay Verão Vol.1,2023-02-02,"AgroPlay, Ana Castela","0uGWkZRPp1Urk77XBrPBsZ,2CKOmarVWvWqkNWUatHCex",https://open.spotify.com/track/1bzRhnrWU1l1u4Bby9ZbfQ,2023,0uGWkZRPp1Urk77XBrPBsZ,"['agronejo', 'sertanejo', 'sertanejo universitário']",65,985174
1jHgfC8T5KxUyC5Ldw6lk9,Zona De Perigo,63,142151,False,Zona De Perigo,2022-12-08,Léo Santana,7KVJCU4z5L4EUHILL8aMxR,https://open.spotify.com/track/1jHgfC8T5KxUyC5Ldw6lk9,2023,7KVJCU4z5L4EUHILL8aMxR,"['pagode baiano', 'axé', 'piseiro', 'pagode', 'arrocha', 'brazilian pop', 'brazilian funk', 'forró']",70,2449269
51FFbyL0PjkYtjXJQP0JoP,Saudade da Minha Vida - Ao Vivo,60,194850,False,Saudade da Minha Vida (Ao Vivo),2023-01-26,Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,https://open.spotify.com/track/51FFbyL0PjkYtjXJQP0JoP,2023,7MiDcPa6UiV3In7lIM71IN,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo', 'piseiro', 'forró']",80,23463208
1nf1HJdTWXwf9XHQebGlOd,Quando Apaga A Luz - Ao Vivo,48,144298,False,Quando Apaga A Luz (Ao Vivo),2023-01-20,"Gustavo Mioto, Mc Don Juan","1X6ORK7IekgmyjV6IFPszP,7Lmrb6KcIzfkmgbtokjsAL",https://open.spotify.com/track/1nf1HJdTWXwf9XHQebGlOd,2023,1X6ORK7IekgmyjV6IFPszP,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",72,7237551
5sKKcIc3fitcF3S9XtxOK1,Trégua - Ao Vivo,39,177423,False,Trégua (Ao Vivo),2023-03-10,"Matheus & Kauan, Wesley Safadão","2Z0lRIqr997lIUiPtrpKCr,1AL2GKpmRrKXkYIcASuRFa",https://open.spotify.com/track/5sKKcIc3fitcF3S9XtxOK1,2023,2Z0lRIqr997lIUiPtrpKCr,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",79,13163858
2K9kZpwD2CzTa6iiSYYOoO,Leão,67,166774,False,"Decretos Reais, Vol. 2",2022-12-09,Marília Mendonça,1yR65psqiazQpeM79CcGh8,https://open.spotify.com/track/2K9kZpwD2CzTa6iiSYYOoO,2023,1yR65psqiazQpeM79CcGh8,"['sertanejo', 'sertanejo universitário', 'arrocha', 'forró']",80,38758961
0AIA4KsMsyqur8FbTVhGNT,SOLTEIROU - Ao Vivo,56,148548,False,LUAN CITY DELUXE (Ao Vivo),2023-01-19,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,https://open.spotify.com/track/0AIA4KsMsyqur8FbTVhGNT,2023,3qvcCP2J0fWi0m0uQDUf6r,"['sertanejo', 'sertanejo universitário', 'arrocha']",78,10124467
5Sj0nbKFCB5GhcR1fL1lRp,Seu Brilho Sumiu - Ao Vivo,56,168840,False,Seu Brilho Sumiu (Ao Vivo),2023-03-01,"Israel & Rodolffo, Mari Fernandez","41QLxRXlc2NwfJZkHGHKid,0BHm7qbh3ENxvXzkQAG7MP",https://open.spotify.com/track/5Sj0nbKFCB5GhcR1fL1lRp,2023,41QLxRXlc2NwfJZkHGHKid,"['sertanejo', 'sertanejo universitário', 'agronejo', 'piseiro', 'arrocha']",70,3793251
3gCWngngUs1uojw33vrE8K,5 Regras - Ao Vivo,61,161469,False,É Simples Assim (Ao Vivo),2022-07-28,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,https://open.spotify.com/track/3gCWngngUs1uojw33vrE8K,2023,1elUiq4X7pxej6FRlrEzjM,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",82,24265494
7rQO0VUUGDIhlDU8kOeqMy,Madrugada Calada - Ao Vivo,36,175601,False,"Ao Vivo em Rio Preto, Vol. 1",2023-02-10,Murilo Huff,3hq7WoPJsrRP0KMSLhUgRz,https://open.spotify.com/track/64wNmIaVhBaNe7qA0XR3OH,2023,3hq7WoPJsrRP0KMSLhUgRz,"['sertanejo', 'sertanejo universitário', 'arrocha', 'agronejo']",76,2565922
